,att1,def1,mid1,ovr1,rank1,att2,def2,mid2,ovr2,rank2,score,winner,att,def,mid,ovr,rank
0,76,77,73,75,37,72,65,70,69,20,1.0,1,4,12,3,6,17
1,94,84,89,88,5,65,63,58,62,66,1.0,1,29,21,31,26,-61
2,78,71,66,72,44,85,77,80,80,14,-1.0,-1,-7,-6,-14,-8,30
3,81,69,74,73,46,74,80,75,76,19,-2.0,-1,7,-11,-1,-3,27
4,65,67,67,68,104,81,85,85,85,15,-3.0,-1,-16,-18,-18,-17,89
5,83,75,76,77,13,76,77,73,75,37,-1.0,-1,7,-2,3,2,-24
6,86,87,85,85,4,69,63,68,64,27,1.0,1,17,24,17,21,-23
7,81,85,85,85,15,85,72,74,76,54,1.0,1,-4,13,11,9,-39
8,92,87,88,88,1,75,81,78,79,18,3.0,1,17,6,10,9,-17
9,85,72,74,76,54,86,87,85,85,4,-2.0,-1,-1,-15,-11,-9,50
10,81,85,85,85,15,69,63,68,64,27,3.0,1,12,22,17,21,-12
11,70,68,71,70,6,92,87,88,88,1,1.0,1,-22,-19,-17,-18,5
12,85,72,74,76,54,69,63,68,64,27,-2.0,-1,16,9,6,12,27
13,71,62,66,65,65,72,65,70,69,20,2.0,1,-1,-3,-4,-4,45
14,81,85,85,85,15,92,87,88,88,1,-1.0,-1,-11,-2,-3,-3,14
15,81,85,85,85,15,70,68,71,70,6,1.0,1,11,17,14,15,9
16,74,71,75,73,49,75,81,78,79,18,2.0,1,-1,-10,-3,-6,31
17,81,69,74,73,46,81,73,81,78,11,2.0,1,0,-4,-7,-5,35
18,85,77,80,80,14,89,88,88,88,9,3.0,1,-4,-11,-8,-8,5
19,65,63,58,62,66,86,87,85,85,4,-1.0,-1,-21,-24,-27,-23,62
20,79,78,80,80,21,92,86,83,87,12,-1.0,-1,-13,-8,-3,-7,9
21,70,68,71,70,6,72,65,70,69,20,2.0,1,-2,3,1,1,-14
22,76,77,73,75,37,78,77,77,77,38,-2.0,-1,-2,0,-4,-2,-1
23,83,75,76,77,13,83,81,85,83,3,1.0,1,0,-6,-9,-6,10
24,78,68,67,70,33,86,87,85,85,4,1.0,1,-8,-19,-18,-15,29
25,71,71,71,72,23,74,69,65,68,74,1.0,1,-3,2,6,4,-51
26,71,67,74,71,28,83,81,85,83,3,2.0,1,-12,-14,-11,-12,25
27,68,70,69,69,61,76,77,73,75,37,-1.0,-1,-8,-7,-4,-6,24
28,83,75,76,77,13,81,69,74,73,46,3.0,1,2,6,2,4,-33
29,82,67,80,75,73,89,88,88,88,9,-1.0,-1,-7,-21,-8,-13,64
30,65,63,58,62,66,83,75,76,77,13,-1.0,-1,-18,-12,-18,-15,53
31,79,78,80,80,21,94,84,89,88,5,-1.0,-1,-15,-6,-9,-8,16
32,76,77,73,75,37,73,78,76,77,62,-1.0,-1,3,-1,-3,-2,-25
33,71,71,71,72,23,82,67,80,75,73,1.0,1,-11,4,-9,-3,-50
34,74,71,75,73,49,90,86,88,88,8,-2.0,-1,-16,-15,-13,-15,41
35,81,69,74,73,46,65,63,58,62,66,2.0,1,16,6,16,11,-20
36,74,80,75,76,19,83,75,76,77,13,1.0,1,-9,5,-1,-1,6
37,85,77,80,80,14,75,81,78,79,18,1.0,1,10,-4,2,1,-4
38,89,88,88,88,9,74,69,65,68,74,1.0,1,15,19,23,20,-65
39,78,71,66,72,44,71,67,74,71,28,-1.0,-1,7,4,-8,1,16
40,92,86,83,87,12,68,70,69,69,61,1.0,1,24,16,14,18,-49
41,65,67,67,68,104,82,67,80,75,73,-1.0,-1,-17,0,-13,-7,31
42,81,73,81,78,11,81,85,85,85,15,1.0,1,0,-12,-4,-7,-4
43,74,69,65,68,74,65,67,67,68,104,2.0,1,9,2,-2,0,-30
44,89,88,88,88,9,71,71,71,72,23,1.0,1,18,17,17,16,-14
45,78,71,66,72,44,83,81,85,83,3,-3.0,-1,-5,-10,-19,-11,41
46,81,85,85,85,15,71,62,66,65,65,1.0,1,10,23,19,20,-50
47,68,70,69,69,61,73,78,76,77,62,-3.0,-1,-5,-8,-7,-8,-1
48,82,75,75,76,17,86,87,85,85,4,1.0,1,-4,-12,-10,-9,13
49,70,68,71,70,6,82,75,75,76,17,2.0,1,-12,-7,-4,-6,-11
50,94,84,89,88,5,72,65,70,69,20,1.0,1,22,19,19,19,-15
51,76,77,73,75,37,83,81,85,83,3,-1.0,-1,-7,-4,-12,-8,34
52,85,83,83,83,9,74,80,75,76,19,2.0,1,11,3,8,7,-10
53,78,77,77,77,38,81,73,81,78,11,2.0,1,-3,4,-4,-1,27
54,85,72,74,76,54,82,75,75,76,17,1.0,1,3,-3,-1,0,37
55,75,81,78,79,18,65,63,58,62,66,1.0,1,10,18,20,17,-48
56,70,68,71,70,6,81,69,74,73,46,-3.0,-1,-11,-1,-3,-3,-40
57,71,67,74,71,28,77,74,71,73,23,3.0,1,-6,-7,3,-2,5
58,81,73,81,78,11,78,77,77,77,38,2.0,1,3,-4,4,1,-27
59,70,68,71,70,6,65,63,58,62,66,2.0,1,5,5,13,8,-60
60,72,69,68,71,19,83,77,78,78,51,1.0,1,-11,-8,-10,-7,-32
61,87,85,81,83,4,80,81,74,78,19,-1.0,-1,7,4,7,5,-15
62,91,86,85,86,5,84,72,77,76,17,1.0,1,7,14,8,10,-12
63,88,88,84,87,2,85,82,81,83,6,3.0,1,3,6,3,4,-4
64,80,75,70,74,33,92,86,89,89,1,-1.0,-1,-12,-11,-19,-15,32
65,72,76,73,74,25,79,78,75,77,15,-2.0,-1,-7,-2,-2,-3,10
66,72,70,66,70,78,69,73,66,70,23,-2.0,-1,3,-3,0,0,55
67,72,69,68,71,19,79,69,68,71,29,1.0,1,-7,0,0,0,-10
68,80,68,78,73,38,72,76,73,74,25,-4.0,-1,8,-8,5,-1,13
69,65,70,67,69,45,84,72,77,76,17,-1.0,-1,-19,-2,-10,-7,28
70,70,73,67,71,74,80,81,74,78,19,-3.0,-1,-10,-8,-7,-7,55
71,69,73,66,70,23,84,72,77,76,17,-2.0,-1,-15,1,-11,-6,6
72,83,72,73,76,37,65,77,81,77,14,1.0,1,18,-5,-8,-1,23
73,69,73,66,70,23,65,70,67,69,45,2.0,1,4,3,-1,1,-22
74,92,84,88,87,3,72,69,68,71,19,1.0,1,20,15,20,16,-16
75,91,86,85,86,5,66,63,59,63,76,2.0,1,25,23,26,23,-71
76,92,84,88,87,3,82,78,79,79,22,2.0,1,10,6,9,8,-19
77,80,81,74,78,19,74,71,69,72,27,-1.0,-1,6,10,5,6,-8
78,92,84,88,87,3,70,62,66,65,87,2.0,1,22,22,22,22,-84
